"State","Population","Area","Children","Age","Income","Marital","Gender","Churn","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Contract","Port_modem","Tablet","InternetService","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","PaymentMethod","Tenure","MonthlyCharge","Bandwidth_GB_Year","Response","Fix","Replacement","Reliability","Options","Respectful","Courteous","Listening"
"AK",38,"Urban",0,68,28561.99,"Widowed","Male","No",7.978322947,10,0,1,"No","One year","Yes","Yes","Fiber Optic","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Credit Card (automatic)",6.795512947,172.455519,904.5361102,5,5,5,3,4,4,3,4
"TX",11352,"Suburban",0,83,40074.19,"Separated","Male","Yes",8.147416533,16,2,1,"No","Month-to-month","Yes","No","Fiber Optic","No","No","No","No","No","Yes","Yes","No","No","Mailed Check",1.670971726,149.948316,271.4934362,4,4,4,3,4,4,4,5
"FL",17351,"Suburban",2,49,58634.51,"Separated","Nonbinary","No",5.739005915,20,2,3,"No","Month-to-month","Yes","No","DSL","Yes","No","Yes","Yes","No","No","No","No","Yes","Bank Transfer(automatic)",8.220686373,117.468591,1312.874964,5,4,4,3,4,3,4,4
"PR",33372,"Rural",2,56,18342.12,"Married","Female","No",6.68082638,17,1,1,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","Yes","No","Yes","No","No","Electronic Check",10.52199781,149.962093,1180.588788,4,4,3,4,4,4,3,4
"ME",0,"Urban",5,29,115114.57,"Separated","Female","No",5.880565591,14,1,0,"No","Two Year","Yes","Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Bank Transfer(automatic)",16.87922024,184.971516,1948.694497,5,6,5,2,4,5,4,4
"AL",3177,"Rural",3,23,19494.75,"Divorced","Male","Yes",10.92246098,10,1,0,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","No","No","No","Yes","No","Yes","Credit Card (automatic)",12.80615845,149.944668,1954.080809,5,5,5,4,4,4,3,3
"OH",9434,"Rural",3,75,28520.32,"Widowed","Female","Yes",13.74777955,15,1,0,"No","Month-to-month","No","Yes","None","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Credit Card (automatic)",5.770390256,162.511928,870.76398,3,3,4,2,4,4,3,4
"MI",14103,"Suburban",1,52,8283.29,"Never Married","Male","Yes",13.80362698,11,0,1,"No","Month-to-month","Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Mailed Check",5.478588204,162.483267,1209.961168,4,2,3,4,3,3,4,3
"NJ",5059,"Urban",1,25,36229.21,"Never Married","Female","No",9.447065309,9,2,0,"No","One year","Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Electronic Check",7.161561527,140.00128,1340.930156,5,6,4,2,5,3,3,3
"PA",2123,"Suburban",1,72,50336.5,"Divorced","Male","No",7.972937227,10,1,1,"No","Two Year","Yes","No","Fiber Optic","Yes","No","No","Yes","Yes","No","No","No","No","Electronic Check",16.04202196,147.473844,1530.10769,3,4,3,6,4,4,6,2
"OK",895,"Suburban",4,41,12003.33,"Divorced","Male","Yes",12.54780492,11,1,2,"No","Two Year","Yes","No","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Credit Card (automatic)",3.924254455,255.141716,1125.581944,3,3,3,5,1,4,3,4
